video_id,channelTitle,title,description,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Release_Time,Release_Year,Release_Month, Release_Day,Date,TotalSecs
divDTLBDmCw,MavinRecords,Magixx - Chocolate (Lyric Video),"Magixx - Chocolate
Stream here: https://magixx.lnk.to/chocolate

Stream 
MAGIXX EP: https://mavinrecords.link/magixx

Follow MAGIXX
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #chocolate",2022-03-01 23:04:23,128664,3085,0,111,PT2M17S,hd,false,1900-01-01 23:04:23,2022,March,Tuesday,2022-03-01,137.0
lwsGYaF-cEM,MavinRecords,Magixx - Love Don't Cost A Dime (Re-up) feat. Ayra Starr,"Magixx - Love Don't Cost A Dime (Re-up) feat Ayra Starr
Stream here: https://magixx.lnk.to/LdCAd-ReUp

Stream 

MAGIXX EP: https://mavinrecords.link/magixx

Follow Magixx

Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #ayrastarr #lovedontcostadime",2022-02-08 23:50:32,1161494,11983,0,255,PT2M26S,hd,false,1900-01-01 23:50:32,2022,February,Tuesday,2022-02-08,146.0
HvBtgqxvxeY,MavinRecords,Crayon - Excuse Me (Rock You) feat. Toby Shang (Official Audio),"Crayon - Excuse Me (Rock You) feat Toby Shang (Official Audio)
STREAM: https://crayon.lnk.to/excuse-me

Follow CRAYON:
Instagram: https://instagram.com/crayonthis​
Twitter: https://twitter.com/crayonthis
TikTok: https://www.tiktok.com/crayway
Triller: https://triller.co/@crayonthis


#excuseme #crayon #tobyshang",2021-12-02 23:14:56,79430,1995,0,116,PT3M38S,hd,false,1900-01-01 23:14:56,2021,December,Thursday,2021-12-02,218.0
H22N7nWoe7U,MavinRecords,LADIPOE - Love Essential feat Amaarae (Official Audio),"LADIPOE - Love Essential feat Amaarae
Stream 'PROVIDENCE EP': https://ladipoe.lnk.to/providence

Follow LADIPOE:
Facebook: https://www.facebook.com/Ladipoe
Instagram - https://instagram.com/ladipoe​
Twitter - https://twitter.com/ladipoe​
TikTok - https://www.tiktok.com/@ladipoe.live
Apple Music: https://music.apple.com/artist/ladipoe/1237349895
Spotify: https://open.spotify.com/artist/379IT6Szv0zgnw4xrdu4mu?si=2Rs3t41aSGyV3QMHBY66dg
YouTube: https://www.youtube.com/c/LadipoeLOTR

#loveessential #ladipoe",2021-11-03 23:47:07,46789,1266,0,61,PT4M2S,hd,false,1900-01-01 23:47:07,2021,November,Wednesday,2021-11-03,242.0
1rS8RX0Ao-E,MavinRecords,LADIPOE - Providence (Official Audio),"LADIPOE - Providence
Stream 'PROVIDENCE EP': https://ladipoe.lnk.to/providence

Follow LADIPOE:
Facebook: https://www.facebook.com/Ladipoe
Instagram - https://instagram.com/ladipoe​
Twitter - https://twitter.com/ladipoe​
TikTok - https://www.tiktok.com/@ladipoe.live
Apple Music: https://music.apple.com/artist/ladipoe/1237349895
Spotify: https://open.spotify.com/artist/379IT6Szv0zgnw4xrdu4mu?si=2Rs3t41aSGyV3QMHBY66dg
YouTube: https://www.youtube.com/c/LadipoeLOTR

#providence #ladipoe",2021-11-03 23:47:01,30988,898,0,63,PT3M49S,hd,false,1900-01-01 23:47:01,2021,November,Wednesday,2021-11-03,229.0
X5WErw2ZG8s,MavinRecords,LADIPOE - Afro Jigga feat Rema (Official Audio),"LADIPOE - Afro Jigga feat Rema
Stream 'PROVIDENCE EP': https://ladipoe.lnk.to/providence

Follow LADIPOE:
Facebook: https://www.facebook.com/Ladipoe
Instagram - https://instagram.com/ladipoe​
Twitter - https://twitter.com/ladipoe​
TikTok - https://www.tiktok.com/@ladipoe.live
Apple Music: https://music.apple.com/artist/ladipoe/1237349895
Spotify: https://open.spotify.com/artist/379IT6Szv0zgnw4xrdu4mu?si=2Rs3t41aSGyV3QMHBY66dg
YouTube: https://www.youtube.com/c/LadipoeLOTR

#afrojigga #ladipoe",2021-11-03 23:46:56,216122,5546,0,245,PT3M5S,hd,false,1900-01-01 23:46:56,2021,November,Wednesday,2021-11-03,185.0
RB8wX1kBR5s,MavinRecords,LADIPOE - Law of Attraction,"LADIPOE - Law of Attraction
Stream 'PROVIDENCE EP': https://ladipoe.lnk.to/providence

Follow LADIPOE:
Facebook: https://www.facebook.com/Ladipoe
Instagram - https://instagram.com/ladipoe​
Twitter - https://twitter.com/ladipoe​
TikTok - https://www.tiktok.com/@ladipoe.live
Apple Music: https://music.apple.com/artist/ladipoe/1237349895
Spotify: https://open.spotify.com/artist/379IT6Szv0zgnw4xrdu4mu?si=2Rs3t41aSGyV3QMHBY66dg
YouTube: https://www.youtube.com/c/LadipoeLOTR

#lawofattraction #ladipoe",2021-11-03 23:46:49,58431,1219,0,64,PT3M14S,hd,false,1900-01-01 23:46:49,2021,November,Wednesday,2021-11-03,194.0
vMNoXXYDSEI,MavinRecords,LADIPOE - LOTR II (Official Audio),"LADIPOE - LOTR II
Stream 'PROVIDENCE EP': https://ladipoe.lnk.to/providence

Follow LADIPOE:
Facebook: https://www.facebook.com/Ladipoe
Instagram - https://instagram.com/ladipoe​
Twitter - https://twitter.com/ladipoe​
TikTok - https://www.tiktok.com/@ladipoe.live
Apple Music: https://music.apple.com/artist/ladipoe/1237349895
Spotify: https://open.spotify.com/artist/379IT6Szv0zgnw4xrdu4mu?si=2Rs3t41aSGyV3QMHBY66dg
YouTube: https://www.youtube.com/c/LadipoeLOTR

#lotr2 #ladipoe",2021-11-03 23:46:37,38662,866,0,68,PT3M21S,hd,false,1900-01-01 23:46:37,2021,November,Wednesday,2021-11-03,201.0
fev13TZr2TA,MavinRecords,LADIPOE - Running feat. FireboyDML (Official Audio),"LADIPOE - Running feat. FireboyDML
Stream 'RUNNING': https://ladipoe.lnk.to/running

Follow LADIPOE:
Facebook: https://www.facebook.com/Ladipoe
Instagram - https://instagram.com/ladipoe​
Twitter - https://twitter.com/ladipoe​
TikTok - https://www.tiktok.com/@ladipoe.live
Apple Music: https://music.apple.com/artist/ladipoe/1237349895
Spotify: https://open.spotify.com/artist/379IT6Szv0zgnw4xrdu4mu?si=2Rs3t41aSGyV3QMHBY66dg
YouTube: https://www.youtube.com/c/LadipoeLOTR

#running #ladipoe #fireboydml",2021-10-21 23:02:20,534986,10967,0,662,PT3M33S,hd,false,1900-01-01 23:02:20,2021,October,Thursday,2021-10-21,213.0
vXfR-uiltvI,MavinRecords,Magixx - Love Don't Cost A Dime (Official Music Video),"Magixx - Love Don't Cost A Dime
Stream MAGIXX EP: https://mavinrecords.link/magixx

Follow Magixx
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #lovedontcostadime",2021-09-24 11:00:11,975713,21193,0,758,PT3M24S,hd,false,1900-01-01 11:00:11,2021,September,Friday,2021-09-24,204.0
